Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
21625,홍천동키마을체험관,강원특별자치도,홍천군,화촌면,외삼포리,1415,구룡령로,127.9578127,37.75030917
21626,제주보타리자연농원,제주특별자치도,제주시,애월읍,봉성리,1300,,126.3258454,33.39824117
21627,베리굳농원,충청북도,영동군,학산면,박계리,1213-2,모산길,127.6608236,36.10886748
21628,쥬라기카라반,인천광역시,강화군,길상면,선두리,1024-13,해안남로,126.4955003,37.60022497
21629,글램핑스테이션,충청북도,괴산군,연풍면,갈금리,251-3,연풍로,127.9514165,36.78170424
21630,수레의산자연휴양림캠핑장,충청북도,음성군,생극면,차곡리,151,,127.6523283,37.04005893
21631,서울커넥션지구촌관광,서울특별시,마포구,도화동,,Jan-51,마포대로,126.9468947,37.54086888
21633,자이언트골프울산KJ,울산광역시,남구,삼산동,,1629-21,삼산로352번길,129.3452721,35.53814828
21634,이음커뮤니케이션즈,서울특별시,마포구,공덕동,,463,마포대로,126.9544556,37.5499015
21635,피아이티인터내셔널,서울특별시,서초구,서초동,,1338-21,강남대로,127.0302698,37.49040321
21636,홀리데이링크디엠씨,서울특별시,마포구,도화동,,37,마포대로,126.9470983,37.53997299
21637,코리아골프앤아트빌,경기도,용인시 기흥구,고매동,,5-73,기흥단지로,127.1368824,37.21877681
21638,BAGUSTOUR,경기도,안산시 단원구,원곡동,,798,다문화1길,126.7910889,37.32860003
21639,GRIDKOREA,서울특별시,마포구,신수동,,459,독막로28길,126.9357313,37.54700968
21640,제이더블유브로스,서울특별시,강남구,삼성동,,38-23,봉은사로,127.0468077,37.51143153
21641,부산고속아카데미,부산광역시,동래구,명륜동,,433-14,충렬대로,129.0831339,35.20240027
21642,애크미에듀케이션,경기도,용인시 수지구,성복동,,381-2,성복2로,127.0626685,37.32011639
21643,베스트케이아이티,서울특별시,마포구,신공덕동,,167,백범로,126.9528871,37.5435008
21644,에프엔에프코리아,서울특별시,마포구,서교동,,351-24,동교로,126.9199281,37.55562146
21645,스튜디오랩루덴스,인천광역시,미추홀구,도화동,,592-5,경인로,126.667954,37.46456743
21646,케이씨에이글로벌,서울특별시,서초구,서초동,,1669-6,서초중앙로22길,127.0163668,37.49322993
21647,ROADMATE,인천광역시,연수구,옥련동,,262-9,옥련로99번길,126.6524584,37.42765486
21648,더브릿지투코리아,서울특별시,은평구,대조동,,179-14,서오릉로8길,126.9224289,37.6079122
21649,에이치앤디글로벌,서울특별시,마포구,합정동,,426-7,월드컵로,126.9120799,37.55219664
21650,자작나무힐링캠프,강원특별자치도,인제군,인제읍,상동리,Feb-46,인제로218번길,128.1752775,38.06888327
21651,에스엔터테인먼트,울산광역시,남구,신정동,,1265-32,봉월로,129.3056942,35.53670012
21652,이십일세기관광,경상북도,안동시,운흥동,,174-4,영가로,128.7325122,36.56366879
21653,보람상조애니콜,서울특별시,강남구,역삼동,,736-17,테헤란로20길,127.0345412,37.49918647
21654,도도인터내셔널,서울특별시,마포구,상수동,,93-45,와우산로,126.9234411,37.54855597
21655,에이에듀연구소,서울특별시,동대문구,용두동,,130-4,왕산로,127.0312199,37.5782273
21656,청화중국유학원,서울특별시,서초구,잠원동,,75-13,신반포로,127.0021716,37.50572508
21657,중앙일보마케팅,서울특별시,중구,서소문동,,58-13,세종대로7길,126.9724936,37.56173173
